Keyword,Category,URL,Title,Date Published,Date of Implementation,Summary,Text,Relevant,Private/public
Pensioner,N/A,http://www.panarmenian.net/eng/news/205767/,Stalin-era prison commander gets 20-year jail term in Romania,2/10/16,2/10/16,"Prison-Commander Alexandru Visinescu has had his final appeal denied. He was originally sentenced to 20 years for his war crimes against humanity working for Stalin, where estimated 2 million people were killed, imprisioned, deported, etc.","A 90-year-old Stalin-era prison commander faced the rest of his life in jail on Wednesday, Feb 10, after Romania's top court dismissed his last appeal against a 20-year jail term for murder and crimes against humanity, Reuters reports.
Alexandru Visinescu was convicted in July of direct involvement in the deaths of 12 inmates, the first case of its kind since the collapse of Nicolae Ceausescu's dictatorship in 1989.
The pensioner, who did not attend the hearing, was waiting in his downtown Bucharest apartment on Wednesday for police to pick up and take him to jail, witnesses said.
He was accused of subjecting inmates to beatings and starvation, and denying them medical treatment and heating, during his time in charge of the institution from 1956 to 1963.
The last survivor of the jail where Visinescu worked, Valentin Cristea, 85, told Reuters he did not want to comment on the case but added: ""I'm now old and sick ... What can I say? The justice system has done its duty.""
Cristea said he had spent six years in the jail on the outskirts of the small town of Ramnicu Sarat, 150 km (94 miles) east of Bucharest for disclosing state secrets to an anti-communist group. He said he lost 20 kg (44 pounds) during his detention.
Earlier in the legal proceedings, which stretched over two years, Visinescu had described himself as a victim of the system who only followed orders, stating at one point: ""I have no regrets, I have no regrets"".
According to the Institute for Investigation of Communist Crimes (IICCMER), up to 2 million people are estimated were killed, imprisoned, deported, relocated or otherwise victimized between 1945 and 1989.
About half a million people including peasants, politicians, priests, doctors, officers, land owners and merchants were jailed in the early 1960s after hastily assembled trials and a fifth of them perished in prisons such as Ramnicu Sarat.
Visinescu, who has been living on a special military pension, will likely go to the municipal prison, a police source said, adding he would likely become the country's oldest inmate.
Former IICCMER head Andrei Muraru said: ""This is a precedent proving political crimes before 1989 can be punished.""",no,N/A
Pensioner,N/A,http://www.panarmenian.net/eng/news/123411/,Sir Ranulph Fiennes to undertake record winter Antarctica expedition,9/18/12,End of 2012- 3/21/2013,"British Explorer Ranulph Fiennes is about to lead an exploration into Antartica, his 68th attempt. ","British explorer Sir Ranulph Fiennes is to lead the first team on foot across Antarctica during the southern winter, BBC News reported.
The six-month expedition next year is being called the Coldest Journey, crossing terrain where the temperature has hit -90C. It will be 68-year-old Sir Ranulph's latest record attempt. Past feats have seen him go pole to pole and climb Everest as a pensioner.
Guinness World Records describes him as the world's greatest living explorer.
""We do it because we like to break world records,"" says Sir Ranulph, his bushy eyebrows icing up while on a training session close to the Arctic. ""Sometimes we don't succeed, but it's what we go for. It's our specialty.""
The team will be dropped off by ship on the Pacific coast of the continent and wait for the equinox on 21 March 2013 before setting off over the ice shelf.",no,N/A
Pensioner,N/A,http://www.panarmenian.net/eng/news/91309/,Cold snap in Europe leaves 160 dead,2/2/12,2/2/12,"A cold snap has kept Europe very cold and more people died in mutiple Eastern European countries, tallying up to 160.","Award-winning writer and director Eric Nazarian will discuss his film, The Blue Hour, following a screening of the film on Saturday, August 22 at the Glendale Central Library Auditorium. 



The Blue Hour, explores the connections between a Mexican graffiti muralist, an Armenian camera repairman, an African- American Blues guitarist and an English pensioner living near the Los Angeles River. The ensemble cast includes actress Alyssa Milano. The film was received a number of prizes when it debuted in 2007.



The Blue Hour, was recently nominated for a Voice Award, sponsored by the U.S. Department of Health and Human Services and the Writers Guild of America West, for ""giving voice to people with mental disorders by incorporating empathetic and accurate portrayals into their scripts, programs and productions.""



Born in Armenia, Eric Nazarian is a graduate of USC School of Cinematic Arts. In 2008, he received the Academy of Motion Picture Arts and Sciences prestigious Nicholl Fellowship in Screenwriting for his original screenplay Giants. Out of 5,224 submissions to the Academy only five screenplays were awarded the prestigious fellowship, and he is the first Armenian in the history of the Academy of Motion Picture Arts and Sciences to be awarded the fellowship. He is currently working on a series of feature films set in the U.S., Europe and Armenia. 



Praise for The Blue Hour, ""The Blue Hour reps a strong calling card for Eric Nazarian."" - Variety 



""Eric Nazarian's The Blue Hour is a beautiful and delicately constructed first film."" - Atom Egoyan.



""Nazarian demonstrates an uncanny affinity for the language of cinema...this is clearly another filmmaker to watch out for in the coming years."" - Torino Film Festival.",no,N/A
Pensioner,N/A,http://www.panarmenian.net/eng/news/83547/,"New Times party leader calls Sargsyan, Kocharian “Siamese twins”",11/11/11,11/11/11,"The New Times Party leader calls current leader Serzh Sargsyan and former president Robert Kocharian ""siamese twins,"" to associate they have no difference in opinion.","New Times party leader believes current leader Serzh Sargsyan and ex-president Robert Kocharian to have no serious disagreements. “To me, there were always close, like Siamese twins. As soon as the change of current political system is on agenda, they’ll be back together to counteract the attempt,” Aram Karapetyan told a news conference in Yerevan. As Karapetyan noted, recent resignations were aimed to neutralize politicians which could gain power even without Kocharian. “Unwilling to become “the youngest pensioner,” Kocharian makes every effort to change that status,” the party leader said. Karapetyan advised Kocharian to set his sights on NKR president's post. “Kocharian's accession to Karabakh presidency might positively affect the Republic's international ties, considering his connections with Russia’s power-holding structures,” the politician concluded.",no,N/A
Pensioner,N/A,http://www.panarmenian.net/eng/politics/news/71625/,U.S. and Armenia have much to be proud of - Yovanovitch,6/3/11,6/3/11,"The US ambassador to Armenia, Marie L. Yovanovitch, issued a farewell letter. She believes that the relationship between the countries has gotten better and they are working well together to solve world issues.","The outgoing U.S. ambassador to Armenia, Marie L. Yovanovitch, issued a farewell letter.
“I am departing this summer after three years as the United States ambassador. It has been an honor to serve my country and work together with so many talented Armenians. I leave with a mix of emotions, happy to return to family and friends in the U.S., but sad to leave this beautiful country at such a historic moment,” amb. Yovanovitch said.
“I believe that the United States and Armenia have much to be proud of. The U.S.-Armenia relationship is rooted in a shared belief in democracy, prosperity, and peace, and I hardly visit a corner of this country without seeing evidence of our successful cooperation. I have talked with citizen advocacy lawyers fighting to secure pensioner rights in Armavir, seen the fruits of our shared efforts to improve public health at Vanadzor Maternity Hospital, and marveled at the dedication to environmental protection of volunteers in Kapan.”
“During my three years in Armenia, I have witnessed a number of developments that underscore our strong bond and commitment to forging a bright future together. One year ago, President Obama invited President Sargsian to the Nuclear Security Summit in Washington, underlining that the U.S. views Armenia as a good partner in stopping the spread of weapons of mass destruction. Secretary Clinton visited Armenia last year on Armenian Constitution Day, the first Secretary of State to come to Yerevan in 18 years. Secretary Clinton’s stroll down Northern Avenue on a beautiful summer evening symbolized the open and spontaneous exchange that must occur between the people and their government,” she said.
“Over the last several years the Armenian government has registered admirable progress in combating the heinous crime of human trafficking. It has demonstrated its commitment to global security, sending troops to Afghanistan and strengthening Armenia's export control regime. Restrictions on freedom of assembly have been relaxed. Citizens detained for actions related to the March 1, 2008 post-election events have been amnestied or granted early release,”
The ambassador went on to say, “More challenges lie ahead, however, and the United States is committed to helping Armenia reach its full potential. The U.S. is determined to facilitate a peaceful solution of the Nagorno Karabakh conflict. We continue to support Armenia-Turkey reconciliation, both here and in Ankara. It should come as no surprise that the United States will continue to champion democracy, which is America’s founding principle and fundamental to Armenia's political and economic development. We cooperate with the government and local partners to help consolidate democracy in Armenia through the promotion of the rule of law, good governance, and respect for human rights. The upcoming elections represent opportunities to restore broad faith in Armenian democracy. Only Armenians themselves can take the steps to fulfill their democratic aspirations, but the American people stand ready to help Armenia realize this moment for progress.”
“It is natural for our two countries to have differences, but I believe our shared belief in democracy, prosperity, and peace will guide future cooperation. I leave Armenia confident that our relationship will continue to strengthen and that together we will find new avenues to fashion a future that benefits us all,” she concluded.",no,N/A
Pensioner,N/A,http://www.panarmenian.net/eng/culture/news/35254/,Blue Hour Film by Erick Nazarian to be screened in Glendale,8/19/09,8/22/09,"Eric Nazarian will discuss his film, The Blue Hour at a screening at Glendale Central Library Auditorium, which is about connections between a Mexican graffiti artist, an Armenian repairman, an African American blues guitarist, and an english pensioner.","Award-winning writer and director Eric Nazarian will discuss his film, The Blue Hour, following a screening of the film on Saturday, August 22 at the Glendale Central Library Auditorium. 



The Blue Hour, explores the connections between a Mexican graffiti muralist, an Armenian camera repairman, an African- American Blues guitarist and an English pensioner living near the Los Angeles River. The ensemble cast includes actress Alyssa Milano. The film was received a number of prizes when it debuted in 2007.



The Blue Hour, was recently nominated for a Voice Award, sponsored by the U.S. Department of Health and Human Services and the Writers Guild of America West, for ""giving voice to people with mental disorders by incorporating empathetic and accurate portrayals into their scripts, programs and productions.""



Born in Armenia, Eric Nazarian is a graduate of USC School of Cinematic Arts. In 2008, he received the Academy of Motion Picture Arts and Sciences prestigious Nicholl Fellowship in Screenwriting for his original screenplay Giants. Out of 5,224 submissions to the Academy only five screenplays were awarded the prestigious fellowship, and he is the first Armenian in the history of the Academy of Motion Picture Arts and Sciences to be awarded the fellowship. He is currently working on a series of feature films set in the U.S., Europe and Armenia. 



Praise for The Blue Hour, ""The Blue Hour reps a strong calling card for Eric Nazarian."" - Variety 



""Eric Nazarian's The Blue Hour is a beautiful and delicately constructed first film."" - Atom Egoyan.



""Nazarian demonstrates an uncanny affinity for the language of cinema...this is clearly another filmmaker to watch out for in the coming years."" - Torino Film Festival.",no,N/A
Pensioner,N/A,http://www.panarmenian.net/eng/world/news/28100/,Armenian homicide investigation completed in Moscow,1/16/09,1/16/09,Moscow policy finished their investigation regarding an Armenian murder by three Russian soldiers. All three confessed to murder.,"Moscow police has completed investigation into the murder of an Armenian committed by three Russian soldiers. 



Moscow police has completed investigation into the murder of an Armenian committed by three Russian soldiers. 



The file was submitted to Moscow military prosecutor's office.



All three confessed of the murder. 



According to the case papers, a 67-year-old Armenian disappeared on December 20, after he has left his house in his car. 



On January 1, traffic police stopped a car that turned out to belong to the vanished pensioner. His documents and blood spots were found in the passenger compartment.



The investigators found out that in December 2008 three soldiers who left the military unit without permission stopped the car and then brutally killed its owner, NEWSru.com reports.",no,N/A
Pensioner,N/A,http://www.panarmenian.net/eng/news/163309/,“Unfinished Song” comedy-drama starts strong at indie box office,6/24/13,6/24/13,"Unfinished Song, a movie has premiered. The film is about a man who honors his wife by performing at a local choir she used to belong to.","The Weinstein Company’s comedy-drama “Unfinished Song” debuted in two theaters and took in $27,692 this weekend, TheWrap said.
That’s a solid $13,846 per-screen average for the British import, which was written and directed by Paul Andrew Williams. Terence Stamp stars as a grumpy pensioner who honors his recently deceased wife’s passion for performing by joining the local choir to which she used to belong. Christopher Eccleston and Gemma Arterton co-star.
Weinstein is hoping ""Unfinished Song"" -- which was earlier known as ""Song for Marion"" -- can duplicate the success of ""Quartet."" That similarly music-themed and mature-skewing comedy-drama, directed by Dustin Hoffman, has taken in $18 million domestically since opening in January, and $57 million worldwide.
Also opening was Magnolia Pictures’ Somali pirate drama “A Hijacking,” from Danish writer-director Tobias Lindholm. It brought in $42,500 from seven screens for a strong $6,071 per-screen average.
Cohen Media Group’s “The Attack” debuted in three theaters and brought in $26,352. That’s an $8,784 per-screen average for writer-director Ziad Dueiri’s R-rated drama about an Arab surgeon living in Tel Aviv who discovers a dark secret about his wife in the aftermath of a suicide bombing.
Samuel Goldwyn Films opened Jason Wise’s documentary about wine sommeliers, “SOMM,” on five screens and brought in $22,500 for a per screen average of $4,500.
Meanwhile, “Mud” has become the second independent release of the year to cross the $20 million mark.
It is the second indie film of the year to hit the mark, following Focus Features’ “The Place Beyond the Pines, which has taken in $21.3 million since opening in March.",no,N/A
Pensioner,A,http://www.panarmenian.net/eng/economy/news/54055/,Pension reforms are great risk for Armenia's government,9/24/10,1/1/11,Chairman of the RA National Assembly Standing Committee on Social Affairs Hakob Hakobyan believes that pension reforms are a risk because of the huge funds required for them and other small caveats about recieving a pension.,"Chairman of the RA National Assembly Standing Committee on Social Affairs Hakob Hakobyan believes that pension reforms are a great risk for any government.
A government cannot increase pensions' amount during reforms, as huge funds are required for their implementation, Hakobyan told a press conference.
According to him, the reforms in Armenia will refer to any working citizen below 40, who will be obliged to pay 5% of his incomes, while another 5% will be added by the state. And various funds controlled by the Central Bank will be managing these sums. A person will have the opportunity to follow on-line the management of his savings and change the managing fund, if there is a necessity in it.
Hakobyan added that as per the current legislation, pensions are paid only in Armenia. And in case of pensioner's absence, his pension can be received by a person having a relevant power of attorney with one-year term. However, if a pensioner is absent from the country for over 10 years, he will be able to receive his pension for only three years upon return. The parliament member noted that it is offered to make such amendments to the legislation, under which people will have the opportunity to receive their pensions both in Armenia and abroad.
The volunteer funded pension scheme will be introduced in Armenia from January 1, 2011. The transfer to the compulsory funded pension scheme (for citizens below 40) will be implemented from January 1, 2014.",yes,public
Pensioner,N/A,http://www.panarmenian.net/eng/news/188792/,Oscar winner Maggie Smith in “The Lady in the Van” trailer ,3/2/15,11/13/15,"Maggie Smith is a pensioner in the ""Lady in a Van"" which premieres later. This is based on the real events of Miss Shepherd.","Maggie Smith plays a homeless pensioner in a trailer for The Lady in the Van, according to Digital Spy.
Smith stars in the adaptation based on real events as Miss Shepherd, who spent her later years living out of a yellow van.
The film is based on a play by author Alan Bennett, who offered the pensioner temporary residence on his property during the '70s and '80s.
Miss Shepherd then ended up staying for 15 years.
Alex Jennings plays Bennett in the film, while James Corden, Jim Broadbent and Dominic Cooper also appear.
Bennett penned the script and Nicholas Hytner directed the project.
The Lady in the Van is released in UK cinemas on November 13.",no,N/A
Education,N/A,http://www.panarmenian.net/eng/politics/news/59627/,"In 2010, Armenia actively participated in NATO and other international organizations’ work",1/14/11,N/A,Refer to Army Section,"The policy of Armenia to normalise the Armenian-Turkish relations has been received by the international community with full understanding and support, according to the annual report of Armenian Foreign Ministry.
Purposeful steps were undertaken to further develop mutually beneficial cooperation with the Asian countries, particularly with China, India and Japan. Active steps were initiated to develop relations with Arabic countries during the year. Efforts were exerted to further extend the cooperation with the countries of Latin America.
Armenia has been actively involved in the cooperation within the Collective Security Treaty Organisation. Meetings of the Heads of the member-states of the Organisation took place in Yerevan and Sevan.
Armenia intensively participated in the activities of the CIS and EurAsEC and in the processes occurring within those Organisations. The Individual Partnership Action Plan with NATO has been successfully implemented.
Armenia has continued its participation in international peace-keeping activities.
The participation in the activities of the UN and other international organizations, as well as the active involvement in the international campaign against terrorism and other challenges has continued.
One of the pivotal issues of the foreign policy was the establishment of stability, cooperation, security and peace in the South Caucasus. Armenia exerted efforts to the achievement of a stable and secure region.
The economic dimension of foreign policy has continued to play an important role in our agenda, both in bilateral and multilateral relations with international structures and financial institutions.
As a result of continuous work in inter-governmental trade and economic committees of dozens of countries, agreements for future extensive cooperation were reached, new projects were planned.
International cooperation in the fields of culture and education has continued.
Armenian Foreign Ministry contributed to the activities of other Armenian state institutions in order to develop foreign relations.
A big number of visits, political consultations, meetings and events took place on intergovernmental, interagency and decentralized levels, agreements were reached, around 70 international agreements were signed which could serve as a good basis for future development of the bilateral and multilateral relations.
The international recognition of the Armenian Genocide was in the foreign policy agenda. On the 95th Anniversary of the Genocide events were organised in around four dozens of countries to which the Armenian diplomatic representations have shown their support.
The Diplomatic school of the Ministry of Foreign Affairs started to function in 2010, which will soon have its first graduates.
The Law on Diplomatic Service has been amended, the Ministry underwent structural changes.
Last year Armenia opened embassies in 7 countries (Kuwait, Czech Republic, Spain, Japan, Brazil, Iraq, and the Netherlands).
Activities continued to further form international public opinion on Armenia. The Armenian President and Foreign Minister made speeches in leading think tanks, had interviews to eminent international mass media outlets.
The President of the Republic had 22 foreign visits, Armenia has been visited by 6 heads of other countries. President of the National Assembly made 9 visits abroad. Prime-minister made 8 foreign visits. 3 Heads of Foreign Governments, 14 Foreign Ministers, 5 Heads of International organisations visited Armenia. Armenian Foreign Minister made 24 visits.",no,N/A
